id,context,question,answer,answer_start
1,"TAPERA (Tabungan Perumahan Rakyat) adalah program pemerintah Indonesia yang bertujuan untuk membantu masyarakat memiliki rumah dengan cara menabung secara teratur. Program ini wajib diikuti oleh seluruh pekerja, baik yang bekerja di sektor formal maupun informal. Dana yang terkumpul akan digunakan untuk memberikan pembiayaan perumahan kepada peserta TAPERA.",Apa itu TAPERA?,"TAPERA (Tabungan Perumahan Rakyat) adalah program pemerintah Indonesia yang bertujuan untuk membantu masyarakat memiliki rumah dengan cara menabung secara teratur. Program ini wajib diikuti oleh seluruh pekerja, baik yang bekerja di sektor formal maupun informal. Dana yang terkumpul akan digunakan untuk memberikan pembiayaan perumahan kepada peserta TAPERA.",0
2,BPJS Kesehatan adalah Badan Penyelenggara Jaminan Sosial yang mengelola program jaminan kesehatan bagi seluruh rakyat Indonesia. Program ini memberikan akses pelayanan kesehatan yang terjangkau bagi masyarakat. Kepesertaan BPJS Kesehatan bersifat wajib bagi seluruh warga negara Indonesia.,Apa itu BPJS Kesehatan?,BPJS Kesehatan adalah Badan Penyelenggara Jaminan Sosial yang mengelola program jaminan kesehatan bagi seluruh rakyat Indonesia. Program ini memberikan akses pelayanan kesehatan yang terjangkau bagi masyarakat. Kepesertaan BPJS Kesehatan bersifat wajib bagi seluruh warga negara Indonesia.,0
3,"BPJS Ketenagakerjaan adalah program jaminan sosial yang melindungi pekerja dari risiko sosial ekonomi tertentu, seperti kecelakaan kerja, kematian, dan pensiun. Program ini memberikan berbagai manfaat, termasuk jaminan hari tua dan jaminan kecelakaan kerja.",Apa itu BPJS Ketenagakerjaan?,"BPJS Ketenagakerjaan adalah program jaminan sosial yang melindungi pekerja dari risiko sosial ekonomi tertentu, seperti kecelakaan kerja, kematian, dan pensiun. Program ini memberikan berbagai manfaat, termasuk jaminan hari tua dan jaminan kecelakaan kerja.",0
4,Tabungan Pendidikan adalah jenis tabungan yang dirancang untuk membantu orang tua menyiapkan dana pendidikan bagi anak-anak mereka. Tabungan ini biasanya memiliki fitur seperti bunga yang kompetitif dan jangka waktu tertentu hingga anak memasuki jenjang pendidikan yang lebih tinggi.,Apa itu Tabungan Pendidikan?,Tabungan Pendidikan adalah jenis tabungan yang dirancang untuk membantu orang tua menyiapkan dana pendidikan bagi anak-anak mereka. Tabungan ini biasanya memiliki fitur seperti bunga yang kompetitif dan jangka waktu tertentu hingga anak memasuki jenjang pendidikan yang lebih tinggi.,0
5,"Asuransi Pendidikan adalah produk asuransi yang memberikan perlindungan dan manfaat keuangan untuk biaya pendidikan anak. Produk ini memastikan bahwa dana pendidikan tersedia meskipun terjadi sesuatu yang tidak diinginkan terhadap orang tua, seperti kecelakaan atau kematian.",Apa itu Asuransi Pendidikan?,"Asuransi Pendidikan adalah produk asuransi yang memberikan perlindungan dan manfaat keuangan untuk biaya pendidikan anak. Produk ini memastikan bahwa dana pendidikan tersedia meskipun terjadi sesuatu yang tidak diinginkan terhadap orang tua, seperti kecelakaan atau kematian.",0
6,"Dana Darurat adalah sejumlah uang yang disisihkan dan disimpan untuk menghadapi situasi tak terduga yang memerlukan biaya segera, seperti kehilangan pekerjaan atau kebutuhan medis mendadak. Dana ini penting untuk menjaga stabilitas keuangan dan memberikan ketenangan pikiran.",Apa itu Dana Darurat?,"Dana Darurat adalah sejumlah uang yang disisihkan dan disimpan untuk menghadapi situasi tak terduga yang memerlukan biaya segera, seperti kehilangan pekerjaan atau kebutuhan medis mendadak. Dana ini penting untuk menjaga stabilitas keuangan dan memberikan ketenangan pikiran.",0
7,KPR (Kredit Pemilikan Rumah) adalah jenis pinjaman yang diberikan oleh bank atau lembaga keuangan kepada individu untuk membeli rumah. KPR biasanya memiliki jangka waktu panjang dan suku bunga yang bervariasi. Pembayaran cicilan dilakukan setiap bulan hingga pinjaman lunas.,Apa itu KPR?,Kredit Pemilikan Rumah (KPR) adalah jenis pinjaman yang diberikan oleh bank atau lembaga keuangan kepada individu untuk membeli rumah. KPR biasanya memiliki jangka waktu panjang dan suku bunga yang bervariasi. Pembayaran cicilan dilakukan setiap bulan hingga pinjaman lunas.,0
8,"Refinancing adalah proses mengajukan pinjaman baru untuk melunasi pinjaman yang ada, biasanya untuk mendapatkan suku bunga yang lebih rendah atau untuk mengubah jangka waktu pinjaman. Refinancing sering dilakukan untuk pinjaman hipotek atau KPR.",Apa itu Refinancing?,"Refinancing adalah proses mengajukan pinjaman baru untuk melunasi pinjaman yang ada, biasanya untuk mendapatkan suku bunga yang lebih rendah atau untuk mengubah jangka waktu pinjaman. Refinancing sering dilakukan untuk pinjaman hipotek atau KPR.",0
9,Kredit Tanpa Agunan (KTA) adalah jenis pinjaman yang tidak memerlukan jaminan atau agunan. KTA biasanya memiliki suku bunga yang lebih tinggi dibandingkan dengan pinjaman yang dijamin oleh aset karena risikonya yang lebih tinggi bagi pemberi pinjaman.,Apa itu Kredit Tanpa Agunan (KTA)?,Kredit Tanpa Agunan (KTA) adalah jenis pinjaman yang tidak memerlukan jaminan atau agunan. KTA biasanya memiliki suku bunga yang lebih tinggi dibandingkan dengan pinjaman yang dijamin oleh aset karena risikonya yang lebih tinggi bagi pemberi pinjaman.,0
10,Overdraft adalah fasilitas pinjaman yang diberikan oleh bank di mana nasabah dapat menarik dana lebih dari saldo yang tersedia di rekeningnya. Overdraft biasanya memiliki batas kredit tertentu dan dikenakan bunga.,Apa itu Overdraft?,Overdraft adalah fasilitas pinjaman yang diberikan oleh bank di mana nasabah dapat menarik dana lebih dari saldo yang tersedia di rekeningnya. Overdraft biasanya memiliki batas kredit tertentu dan dikenakan bunga.,0
