id,prompt,response,text
1,Apa itu ROI?,ROI atau Return on Investment adalah rasio keuntungan atau kerugian yang dihasilkan dari investasi relatif terhadap biaya investasi. ROI sering digunakan untuk mengevaluasi efisiensi atau profitabilitas suatu investasi atau untuk membandingkan efisiensi beberapa investasi yang berbeda.,Apa itu ROI? ROI atau Return on Investment adalah rasio keuntungan atau kerugian yang dihasilkan dari investasi relatif terhadap biaya investasi. ROI sering digunakan untuk mengevaluasi efisiensi atau profitabilitas suatu investasi atau untuk membandingkan efisiensi beberapa investasi yang berbeda.
2,Apa itu EBITDA?,"EBITDA atau Earnings Before Interest, Taxes, Depreciation, and Amortization adalah ukuran kinerja keuangan suatu perusahaan yang menunjukkan laba operasional sebelum dikurangi bunga, pajak, depresiasi, dan amortisasi.","Apa itu EBITDA? EBITDA atau Earnings Before Interest, Taxes, Depreciation, and Amortization adalah ukuran kinerja keuangan suatu perusahaan yang menunjukkan laba operasional sebelum dikurangi bunga, pajak, depresiasi, dan amortisasi."
3,Apa itu Leverage?,"Leverage dalam konteks finansial adalah penggunaan dana pinjaman untuk meningkatkan potensi imbal hasil dari suatu investasi. Leverage dapat meningkatkan potensi keuntungan, tetapi juga meningkatkan risiko kerugian.","Apa itu Leverage? Leverage dalam konteks finansial adalah penggunaan dana pinjaman untuk meningkatkan potensi imbal hasil dari suatu investasi. Leverage dapat meningkatkan potensi keuntungan, tetapi juga meningkatkan risiko kerugian."
4,Apa itu Diversifikasi?,"Diversifikasi adalah strategi investasi yang melibatkan pembagian investasi di berbagai aset untuk mengurangi risiko. Dengan diversifikasi, risiko kerugian dari satu investasi dapat diimbangi oleh keuntungan dari investasi lainnya.","Apa itu Diversifikasi? Diversifikasi adalah strategi investasi yang melibatkan pembagian investasi di berbagai aset untuk mengurangi risiko. Dengan diversifikasi, risiko kerugian dari satu investasi dapat diimbangi oleh keuntungan dari investasi lainnya."
5,Apa itu Volatilitas?,"Volatilitas adalah ukuran seberapa besar harga aset keuangan berfluktuasi dalam periode waktu tertentu. Volatilitas yang tinggi berarti harga aset bisa naik atau turun drastis dalam waktu singkat, sementara volatilitas rendah menunjukkan perubahan harga yang lebih stabil.","Apa itu Volatilitas? Volatilitas adalah ukuran seberapa besar harga aset keuangan berfluktuasi dalam periode waktu tertentu. Volatilitas yang tinggi berarti harga aset bisa naik atau turun drastis dalam waktu singkat, sementara volatilitas rendah menunjukkan perubahan harga yang lebih stabil."
6,Apa itu Yield?,"Yield atau hasil adalah tingkat pengembalian yang dihasilkan oleh investasi dan biasanya dinyatakan sebagai persentase. Yield dapat mengacu pada bunga atau dividen yang diterima dari investasi dalam obligasi, saham, atau instrumen keuangan lainnya.","Apa itu Yield? Yield atau hasil adalah tingkat pengembalian yang dihasilkan oleh investasi dan biasanya dinyatakan sebagai persentase. Yield dapat mengacu pada bunga atau dividen yang diterima dari investasi dalam obligasi, saham, atau instrumen keuangan lainnya."
7,Apa itu Capital Gain?,"Capital Gain adalah keuntungan yang diperoleh dari selisih antara harga beli dan harga jual aset investasi, seperti saham atau properti. Jika aset dijual dengan harga lebih tinggi dari harga beli, maka terdapat capital gain.","Apa itu Capital Gain? Capital Gain adalah keuntungan yang diperoleh dari selisih antara harga beli dan harga jual aset investasi, seperti saham atau properti. Jika aset dijual dengan harga lebih tinggi dari harga beli, maka terdapat capital gain."
8,Apa itu Likuiditas?,Liquidity atau likuiditas adalah kemampuan suatu aset untuk dijual dengan cepat tanpa mempengaruhi harga aset tersebut secara signifikan. Aset yang likuid adalah aset yang dapat dengan mudah dikonversi menjadi uang tunai.,Apa itu Likuiditas? Liquidity atau likuiditas adalah kemampuan suatu aset untuk dijual dengan cepat tanpa mempengaruhi harga aset tersebut secara signifikan. Aset yang likuid adalah aset yang dapat dengan mudah dikonversi menjadi uang tunai.
9,Apa itu Dividen?,Dividen adalah bagian dari laba perusahaan yang dibagikan kepada pemegang saham. Dividen biasanya dibayarkan secara berkala dan dapat berbentuk uang tunai atau saham tambahan.,Apa itu Dividen? Dividen adalah bagian dari laba perusahaan yang dibagikan kepada pemegang saham. Dividen biasanya dibayarkan secara berkala dan dapat berbentuk uang tunai atau saham tambahan.
10,Apa itu Inflasi?,"Inflasi adalah peningkatan umum dalam harga barang dan jasa dalam suatu ekonomi selama periode waktu tertentu. Inflasi mengurangi daya beli uang, yang berarti jumlah uang yang sama akan membeli barang dan jasa lebih sedikit dari waktu ke waktu.","Apa itu Inflasi? Inflasi adalah peningkatan umum dalam harga barang dan jasa dalam suatu ekonomi selama periode waktu tertentu. Inflasi mengurangi daya beli uang, yang berarti jumlah uang yang sama akan membeli barang dan jasa lebih sedikit dari waktu ke waktu."
